baseline,,orange_1,,blue_1,,green_1,,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,
699,-0.02311128192,699,-0.00166066736,699,-0.01156336535,699,1.334801197,
698,-0.02318613604,698,-0.001824746025,698,-0.01163726207,698,1.307611942,
697,-0.02333050594,697,-0.001977836946,697,-0.01177670527,697,1.278052211,
696,-0.02344088629,696,-0.002033493016,696,-0.01192663051,696,1.246387124,
695,-0.02357894555,695,-0.002225039527,695,-0.01205409691,695,1.212423921,
694,-0.02374891937,694,-0.002404814586,694,-0.01209780294,694,1.177452445,
693,-0.02380626462,693,-0.002453775145,693,-0.01224047039,693,1.140783787,
692,-0.02395606413,692,-0.002584463917,692,-0.01241589617,692,1.103405237,
691,-0.02410497889,691,-0.00278132339,691,-0.01254382264,691,1.066074014,
690,-0.02426348813,690,-0.002936803037,690,-0.01256499812,690,1.027894139,
689,-0.02440123633,689,-0.003088166006,689,-0.01267015282,689,0.990116477,
688,-0.02442179061,688,-0.00322817103,688,-0.01278141607,688,0.9525957704,
687,-0.02458135784,687,-0.00328911352,687,-0.01290767733,687,0.9156684279,
686,-0.02462851815,686,-0.003431724617,686,-0.01298953593,686,0.879643321,
685,-0.02476952411,685,-0.00357146468,685,-0.01303023379,685,0.8442852497,
684,-0.0248548016,684,-0.003685083007,684,-0.01308579743,684,0.8101741672,
683,-0.02492241375,683,-0.003808422247,683,-0.01318093296,683,0.7777523994,
682,-0.02513799071,682,-0.003979797009,682,-0.013249835,682,0.7463272214,
681,-0.02524351515,681,-0.004122437909,681,-0.01331054233,681,0.7166851163,
680,-0.025370894,680,-0.004254060797,680,-0.0133567322,680,0.6884780526,
679,-0.02549608611,679,-0.004358582199,679,-0.01344372705,679,0.6621893048,
678,-0.02555081062,678,-0.004535324872,678,-0.0134821739,678,0.6378331184,
677,-0.02568283118,677,-0.004671893548,677,-0.01350485906,677,0.6151293516,
676,-0.02580886148,676,-0.004775955807,676,-0.01361154299,676,0.5944134593,
675,-0.02585974149,675,-0.004938708153,675,-0.01358058397,675,0.5754435658,
674,-0.02600278705,674,-0.005074894521,674,-0.01356999669,674,0.5585725904,
673,-0.0260559842,673,-0.005187198985,673,-0.01352071762,673,0.5436497927,
672,-0.02615826577,672,-0.005279476754,672,-0.01355117839,672,0.5304086208,
671,-0.02628240176,671,-0.005482634064,671,-0.01352638844,671,0.5189540386,
670,-0.02640216798,670,-0.00561379455,670,-0.01340201404,670,0.5094767809,
669,-0.02653529495,669,-0.005770869087,669,-0.01333981287,669,0.5016777515,
668,-0.02660805173,668,-0.005940143485,668,-0.01328613982,668,0.4955196083,
